연도,시험명,직렬,모집단위,선발예정인원,출원인원,경쟁률
2026,5급 공채·외교관후보자,일반행정,전국,110,3881,35.3
2026,5급 공채·외교관후보자,일반행정,서울,6,215,35.8
2026,5급 공채·외교관후보자,일반행정,인천,1,30,30.0
2026,5급 공채·외교관후보자,일반행정,경기,2,56,28.0
2026,5급 공채·외교관후보자,일반행정,대전,1,35,35.0
2026,5급 공채·외교관후보자,일반행정,세종,1,19,19.0
2026,5급 공채·외교관후보자,일반행정,충남,1,33,33.0
2026,5급 공채·외교관후보자,일반행정,충북,1,25,25.0
2026,5급 공채·외교관후보자,일반행정,광주,2,45,22.5
2026,5급 공채·외교관후보자,일반행정,전남,2,49,24.5
2026,5급 공채·외교관후보자,일반행정,전북,2,44,22.0
2026,5급 공채·외교관후보자,일반행정,대구,1,35,35.0
2026,5급 공채·외교관후보자,일반행정,경북,2,48,24.0
2026,5급 공채·외교관후보자,일반행정,부산,2,57,28.5
2026,5급 공채·외교관후보자,일반행정,울산,2,33,16.5
2026,5급 공채·외교관후보자,일반행정,경남,2,46,23.0
2026,5급 공채·외교관후보자,일반행정,제주,1,27,27.0
2026,5급 공채·외교관후보자,법무행정,전국,7,553,79.0
2026,5급 공채·외교관후보자,재경,전국,70,1219,17.4
2026,5급 공채·외교관후보자,국제통상,전국,11,394,35.8
2026,5급 공채·외교관후보자,교육행정,전국,6,225,37.5
2026,5급 공채·외교관후보자,사회복지,전국,2,59,29.5
2026,5급 공채·외교관후보자,교정,전국,1,182,182.0
2026,5급 공채·외교관후보자,보호,전국,2,159,79.5
2026,5급 공채·외교관후보자,검찰,전국,2,225,112.5
2026,5급 공채·외교관후보자,출입국관리,전국,3,213,71.0
2026,5급 공채·외교관후보자,일반기계,전국,11,188,17.1
2026,5급 공채·외교관후보자,전기,전국,7,196,28.0
2026,5급 공채·외교관후보자,전자,전국,4,71,17.8
2026,5급 공채·외교관후보자,화공,전국,8,172,21.5
2026,5급 공채·외교관후보자,일반농업,전국,3,130,43.3
2026,5급 공채·외교관후보자,산림자원,전국,3,86,28.7
2026,5급 공채·외교관후보자,일반수산,전국,2,62,31.0
2026,5급 공채·외교관후보자,기상,전국,2,46,23.0
2026,5급 공채·외교관후보자,일반환경,전국,5,149,29.8
2026,5급 공채·외교관후보자,일반토목,전국,14,264,18.9
2026,5급 공채·외교관후보자,일반토목,서울,2,25,12.5
2026,5급 공채·외교관후보자,일반토목,경기,1,18,18.0
2026,5급 공채·외교관후보자,일반토목,부산,1,12,12.0
2026,5급 공채·외교관후보자,건축,전국,7,143,20.4
2026,5급 공채·외교관후보자,건축,서울,1,25,25.0
2026,5급 공채·외교관후보자,방재안전,전국,1,55,55.0
2026,5급 공채·외교관후보자,전산개발,전국,10,366,36.6
2026,5급 공채·외교관후보자,데이터,전국,6,224,37.3
2026,5급 공채·외교관후보자,정보보호,전국,2,92,46.0
2026,5급 공채·외교관후보자,통신기술,전국,8,170,21.3
2026,5급 공채·외교관후보자,일반외교,전국,40,1502,37.6
